Date,Open,High,Low,Close,Adj Close,Volume
2018-02-16,4.160000,4.370000,4.030000,4.350000,4.350000,2245500
2018-02-20,4.340000,4.850000,4.310000,4.700000,4.700000,4167000
2018-02-21,4.710000,5.040000,4.520000,4.800000,4.800000,3365800
2018-02-22,4.840000,5.000000,4.770000,4.850000,4.850000,1517500
2018-02-23,4.840000,5.080000,4.800000,5.060000,5.060000,2034900
2018-02-26,5.060000,5.250000,5.040000,5.190000,5.190000,1805800
2018-02-27,5.200000,5.370000,5.200000,5.280000,5.280000,1617900
2018-02-28,5.280000,5.600000,5.220000,5.390000,5.390000,2608400
2018-03-01,5.380000,5.530000,5.260000,5.440000,5.440000,1773300
2018-03-02,5.430000,5.760000,5.390000,5.650000,5.650000,1983900
2018-03-05,5.670000,6.000000,5.630000,5.990000,5.990000,2253400
2018-03-06,6.050000,6.190000,5.420000,5.810000,5.810000,2677200
2018-03-07,5.760000,6.090000,5.760000,6.040000,6.040000,1615900
2018-03-08,6.090000,6.140000,5.850000,5.870000,5.870000,2124100
2018-03-09,5.870000,5.920000,5.680000,5.750000,5.750000,2057100
2018-03-12,5.790000,5.870000,5.660000,5.670000,5.670000,1909700
2018-03-13,5.720000,5.960000,5.720000,5.760000,5.760000,2222600
2018-03-14,5.700000,5.880000,5.620000,5.720000,5.720000,1541500
2018-03-15,5.240000,5.600000,5.100000,5.530000,5.530000,3064000
2018-03-16,5.550000,6.020000,5.480000,5.840000,5.840000,4547700
2018-03-19,5.770000,5.830000,5.620000,5.750000,5.750000,1397000
2018-03-20,5.760000,5.890000,5.610000,5.630000,5.630000,1182400
2018-03-21,5.600000,5.650000,5.250000,5.340000,5.340000,2201100
2018-03-22,5.270000,5.340000,5.100000,5.190000,5.190000,1285200
2018-03-23,5.180000,5.240000,4.990000,5.020000,5.020000,1568500
2018-03-26,5.150000,5.170000,4.830000,4.990000,4.990000,2032400
2018-03-27,4.980000,5.110000,4.800000,4.820000,4.820000,1435100
2018-03-28,4.840000,4.880000,4.630000,4.720000,4.720000,1420100
2018-03-29,4.750000,4.790000,4.670000,4.710000,4.710000,1066800
2018-04-02,4.710000,4.750000,4.540000,4.560000,4.560000,1256600
2018-04-03,4.610000,4.640000,4.480000,4.560000,4.560000,1571100
2018-04-04,4.530000,4.610000,4.420000,4.610000,4.610000,1589300
2018-04-05,4.640000,4.680000,4.460000,4.490000,4.490000,938400
2018-04-06,4.440000,4.520000,4.410000,4.460000,4.460000,1038600
2018-04-09,4.500000,4.590000,4.220000,4.280000,4.280000,1169200
2018-04-10,4.310000,4.560000,4.270000,4.500000,4.500000,900000
2018-04-11,4.460000,4.640000,4.440000,4.610000,4.610000,926100
2018-04-12,4.670000,4.700000,4.530000,4.550000,4.550000,613900
2018-04-13,4.600000,4.670000,4.510000,4.650000,4.650000,671700
2018-04-16,4.730000,4.800000,4.050000,4.110000,4.110000,2722000
2018-04-17,4.140000,4.250000,3.980000,4.090000,4.090000,1649400
2018-04-18,4.080000,4.130000,3.940000,3.950000,3.950000,1263800
2018-04-19,3.920000,4.010000,3.630000,3.760000,3.760000,2859900
2018-04-20,3.750000,3.810000,3.640000,3.780000,3.780000,1497100
2018-04-23,3.750000,3.820000,3.550000,3.580000,3.580000,1811300
2018-04-24,3.570000,3.690000,3.500000,3.600000,3.600000,1122000
2018-04-25,3.550000,3.630000,3.530000,3.570000,3.570000,837700
2018-04-26,3.560000,3.640000,3.480000,3.550000,3.550000,1008100
2018-04-27,3.570000,3.610000,3.510000,3.600000,3.600000,737200
2018-04-30,3.590000,3.670000,3.370000,3.430000,3.430000,1615800
2018-05-01,3.440000,3.520000,3.300000,3.470000,3.470000,1329900
2018-05-02,3.450000,3.690000,3.430000,3.670000,3.670000,1407400
2018-05-03,3.690000,3.720000,3.550000,3.590000,3.590000,794900
2018-05-04,3.590000,3.740000,3.570000,3.680000,3.680000,903000
2018-05-07,3.620000,3.680000,3.300000,3.320000,3.320000,2421300
2018-05-08,3.340000,3.420000,3.140000,3.160000,3.160000,2443600
2018-05-09,3.200000,3.440000,3.060000,3.410000,3.410000,1958900
2018-05-10,3.410000,3.640000,3.380000,3.480000,3.480000,1583300
2018-05-11,3.490000,3.560000,3.420000,3.560000,3.560000,936000
2018-05-14,3.500000,3.520000,3.180000,3.350000,3.350000,3405600
2018-05-15,3.330000,3.360000,3.240000,3.310000,3.310000,1333200
2018-05-16,3.320000,3.440000,3.290000,3.400000,3.400000,1153300
2018-05-17,3.400000,3.450000,3.280000,3.350000,3.350000,1060300
2018-05-18,3.370000,3.490000,3.320000,3.450000,3.450000,900700
2018-05-21,3.450000,3.490000,3.360000,3.400000,3.400000,909300
2018-05-22,3.420000,3.580000,3.400000,3.480000,3.480000,1471800
2018-05-23,3.470000,3.540000,3.430000,3.480000,3.480000,733700
2018-05-24,3.470000,3.520000,3.430000,3.470000,3.470000,415400
2018-05-25,3.480000,3.510000,3.430000,3.490000,3.490000,427400
2018-05-29,3.490000,3.530000,3.350000,3.390000,3.390000,1127300
2018-05-30,3.410000,3.480000,3.370000,3.410000,3.410000,1425900
2018-05-31,3.420000,3.450000,3.320000,3.350000,3.350000,918300
2018-06-01,3.370000,3.400000,3.310000,3.360000,3.360000,800700
2018-06-04,3.370000,3.390000,3.250000,3.270000,3.270000,801900
2018-06-05,3.280000,3.330000,3.160000,3.180000,3.180000,1323100
2018-06-06,3.180000,3.250000,3.090000,3.150000,3.150000,1188300
2018-06-07,3.180000,3.210000,3.080000,3.100000,3.100000,922100
2018-06-08,3.100000,3.160000,3.070000,3.100000,3.100000,1160800
2018-06-11,3.120000,3.150000,2.900000,2.910000,2.910000,2362100
2018-06-12,3.000000,3.040000,2.810000,2.870000,2.870000,2386400
2018-06-13,2.900000,2.960000,2.770000,2.850000,2.850000,2124300
2018-06-14,2.860000,2.880000,2.770000,2.800000,2.800000,1599400
2018-06-15,2.770000,2.830000,2.700000,2.700000,2.700000,6890800
2018-06-18,2.710000,2.770000,2.700000,2.700000,2.700000,1277000
2018-06-19,2.700000,2.730000,2.530000,2.530000,2.530000,2749800
2018-06-20,2.580000,2.810000,2.550000,2.770000,2.770000,3628900
2018-06-21,2.770000,2.800000,2.490000,2.500000,2.500000,2564800
2018-06-22,2.550000,2.570000,2.410000,2.430000,2.430000,2963300
2018-06-25,2.450000,2.480000,2.300000,2.310000,2.310000,1637200
2018-06-26,2.300000,2.520000,2.130000,2.460000,2.460000,2798400
2018-06-27,2.430000,2.430000,2.250000,2.260000,2.260000,1107100
2018-06-28,2.250000,2.350000,2.170000,2.310000,2.310000,1220400
2018-06-29,2.310000,2.400000,2.240000,2.270000,2.270000,1545700
2018-07-02,2.240000,2.430000,2.220000,2.420000,2.420000,1081100
2018-07-03,2.430000,2.450000,2.310000,2.350000,2.350000,628800
2018-07-05,2.380000,2.410000,2.300000,2.400000,2.400000,598700
2018-07-06,2.400000,2.440000,2.360000,2.420000,2.420000,913800
2018-07-09,2.430000,2.430000,2.330000,2.350000,2.350000,1009000
2018-07-10,2.360000,2.390000,2.220000,2.250000,2.250000,1427500
2018-07-11,2.230000,2.270000,2.210000,2.220000,2.220000,651900
2018-07-12,2.240000,2.270000,2.180000,2.210000,2.210000,661500
2018-07-13,2.210000,2.240000,2.180000,2.190000,2.190000,547600
2018-07-16,2.210000,2.240000,2.050000,2.080000,2.080000,1178000
2018-07-17,2.070000,2.180000,2.070000,2.150000,2.150000,860100
2018-07-18,2.140000,2.150000,2.060000,2.140000,2.140000,882200
2018-07-19,2.130000,2.250000,2.090000,2.240000,2.240000,907800
2018-07-20,2.230000,2.260000,2.110000,2.120000,2.120000,660400
2018-07-23,2.130000,2.130000,2.050000,2.060000,2.060000,854000
2018-07-24,2.060000,2.100000,1.850000,1.940000,1.940000,2623200
2018-07-25,1.940000,1.970000,1.860000,1.870000,1.870000,999400
2018-07-26,1.870000,1.880000,1.790000,1.830000,1.830000,1572800
2018-07-27,1.850000,1.860000,1.750000,1.770000,1.770000,1309900
2018-07-30,1.770000,1.870000,1.750000,1.860000,1.860000,1790900
2018-07-31,1.870000,1.940000,1.810000,1.830000,1.830000,1938300
2018-08-01,1.840000,1.910000,1.820000,1.840000,1.840000,566600
2018-08-02,1.840000,1.860000,1.750000,1.760000,1.760000,1018100
2018-08-03,1.770000,1.770000,1.700000,1.740000,1.740000,831800
2018-08-06,1.740000,1.750000,1.680000,1.680000,1.680000,749000
2018-08-07,1.680000,1.730000,1.680000,1.720000,1.720000,706700
2018-08-08,1.710000,1.780000,1.700000,1.730000,1.730000,1056500
2018-08-09,1.790000,1.790000,1.710000,1.750000,1.750000,1233000
2018-08-10,1.760000,1.860000,1.760000,1.810000,1.810000,1713500
2018-08-13,1.820000,1.850000,1.750000,1.750000,1.750000,914000
2018-08-14,1.760000,1.800000,1.720000,1.790000,1.790000,951200
2018-08-15,1.790000,1.790000,1.680000,1.690000,1.690000,1915500
2018-08-16,1.720000,1.770000,1.650000,1.700000,1.700000,1764900
2018-08-17,1.700000,1.720000,1.570000,1.670000,1.670000,1405500
2018-08-20,1.680000,1.690000,1.550000,1.590000,1.590000,1102900
2018-08-21,1.590000,1.900000,1.580000,1.880000,1.880000,3864900
2018-08-22,1.860000,2.180000,1.860000,2.060000,2.060000,5606600
2018-08-23,2.070000,2.100000,1.940000,2.010000,2.010000,1770200
2018-08-24,2.000000,2.110000,1.950000,2.070000,2.070000,1729300
2018-08-27,2.080000,2.250000,2.030000,2.160000,2.160000,2667900
2018-08-28,2.240000,2.240000,2.070000,2.100000,2.100000,1315400
2018-08-29,2.100000,2.180000,2.060000,2.150000,2.150000,969100
2018-08-30,2.160000,2.200000,2.060000,2.100000,2.100000,1118800
2018-08-31,2.090000,2.240000,2.090000,2.210000,2.210000,1456600
2018-09-04,2.250000,2.270000,2.130000,2.200000,2.200000,1237000
2018-09-05,2.200000,2.230000,2.110000,2.140000,2.140000,895800
2018-09-06,2.140000,2.150000,1.950000,2.020000,2.020000,1233400
2018-09-07,2.010000,2.040000,1.960000,2.020000,2.020000,725500
2018-09-10,2.030000,2.040000,1.930000,1.980000,1.980000,767200
2018-09-11,1.990000,1.990000,1.870000,1.970000,1.970000,915900
2018-09-12,1.960000,1.980000,1.880000,1.920000,1.920000,787400
2018-09-13,1.910000,1.960000,1.890000,1.920000,1.920000,416900
2018-09-14,1.920000,2.000000,1.880000,1.970000,1.970000,900500
2018-09-17,1.990000,2.040000,1.820000,1.830000,1.830000,1283100
2018-09-18,1.850000,1.950000,1.820000,1.910000,1.910000,1031200
2018-09-19,1.920000,2.010000,1.870000,2.000000,2.000000,1092600
2018-09-20,2.010000,2.220000,2.000000,2.100000,2.100000,1380500
2018-09-21,2.110000,2.180000,2.000000,2.000000,2.000000,2172300
2018-09-24,2.000000,2.160000,2.000000,2.150000,2.150000,1163200
2018-09-25,2.160000,2.200000,2.100000,2.110000,2.110000,1069000
2018-09-26,2.110000,2.190000,2.060000,2.140000,2.140000,984600
2018-09-27,2.140000,2.200000,2.120000,2.140000,2.140000,757400
2018-09-28,2.140000,2.180000,2.080000,2.140000,2.140000,607600
2018-10-01,2.160000,2.370000,2.120000,2.260000,2.260000,3327600
2018-10-02,2.240000,2.340000,2.080000,2.090000,2.090000,2234600
2018-10-03,2.100000,2.160000,2.040000,2.150000,2.150000,1035400
2018-10-04,2.160000,2.240000,2.100000,2.140000,2.140000,1180400
2018-10-05,2.130000,2.240000,2.060000,2.130000,2.130000,799400
2018-10-08,2.120000,2.140000,2.000000,2.060000,2.060000,861300
2018-10-09,2.030000,2.090000,1.950000,1.970000,1.970000,1343500
2018-10-10,1.970000,2.030000,1.900000,1.920000,1.920000,1192100
2018-10-11,1.900000,2.090000,1.870000,2.000000,2.000000,1638100
2018-10-12,2.050000,2.070000,1.920000,1.950000,1.950000,736900
2018-10-15,1.950000,2.020000,1.900000,1.980000,1.980000,800200
2018-10-16,2.000000,2.010000,1.900000,1.980000,1.980000,1723200
2018-10-17,1.980000,2.070000,1.930000,2.060000,2.060000,749100
2018-10-18,2.020000,2.070000,1.980000,2.000000,2.000000,728300
2018-10-19,2.000000,2.060000,1.920000,1.960000,1.960000,1148400
2018-10-22,1.890000,1.920000,1.760000,1.810000,1.810000,1537900
2018-10-23,1.770000,1.810000,1.700000,1.810000,1.810000,796500
2018-10-24,1.790000,1.790000,1.650000,1.660000,1.660000,1310300
2018-10-25,1.680000,1.830000,1.630000,1.790000,1.790000,1098200
2018-10-26,1.750000,1.780000,1.680000,1.720000,1.720000,922500
2018-10-29,1.750000,1.770000,1.580000,1.620000,1.620000,1024800
2018-10-30,1.620000,1.690000,1.540000,1.640000,1.640000,1694100
2018-10-31,1.670000,1.680000,1.550000,1.590000,1.590000,1032700
2018-11-01,1.660000,1.790000,1.610000,1.790000,1.790000,1686400
2018-11-02,1.780000,1.980000,1.780000,1.890000,1.890000,1811600
2018-11-05,1.880000,1.930000,1.770000,1.880000,1.880000,1275700
2018-11-06,1.800000,1.990000,1.750000,1.940000,1.940000,2004200
2018-11-07,1.950000,2.350000,1.920000,2.070000,2.070000,2387300
2018-11-08,2.060000,2.120000,2.020000,2.070000,2.070000,999300
2018-11-09,2.040000,2.090000,1.930000,1.990000,1.990000,713000
2018-11-12,2.000000,2.000000,1.860000,1.920000,1.920000,655700
2018-11-13,1.930000,2.040000,1.930000,1.990000,1.990000,660400
2018-11-14,2.010000,2.110000,1.990000,2.060000,2.060000,1218600
2018-11-15,2.060000,2.230000,2.030000,2.190000,2.190000,1548800
2018-11-16,2.160000,2.250000,2.070000,2.110000,2.110000,854300
2018-11-19,2.140000,2.160000,2.030000,2.090000,2.090000,1101800
2018-11-20,2.040000,2.210000,2.030000,2.160000,2.160000,1124400
2018-11-21,2.180000,2.250000,2.120000,2.190000,2.190000,640500
2018-11-23,2.190000,2.250000,2.140000,2.210000,2.210000,288900
2018-11-26,2.230000,2.250000,2.190000,2.240000,2.240000,497300
2018-11-27,2.240000,2.290000,2.170000,2.220000,2.220000,639500
2018-11-28,2.240000,2.450000,2.200000,2.400000,2.400000,1544600
2018-11-29,2.380000,2.410000,2.280000,2.300000,2.300000,567700
2018-11-30,2.280000,2.430000,2.210000,2.410000,2.410000,939900
2018-12-03,2.480000,2.550000,2.440000,2.480000,2.480000,762400
2018-12-04,2.450000,2.500000,2.290000,2.310000,2.310000,673600
2018-12-06,2.250000,2.390000,2.120000,2.350000,2.350000,829600
2018-12-07,2.360000,2.680000,2.350000,2.630000,2.630000,1602300
2018-12-10,2.650000,2.780000,2.540000,2.630000,2.630000,1342600
2018-12-11,2.670000,2.750000,2.590000,2.620000,2.620000,1155300
2018-12-12,2.640000,2.790000,2.630000,2.660000,2.660000,1065000
2018-12-13,2.690000,2.700000,2.500000,2.500000,2.500000,949300
2018-12-14,2.500000,2.550000,2.400000,2.420000,2.420000,800000
2018-12-17,2.390000,2.470000,2.190000,2.210000,2.210000,1244400
2018-12-18,2.230000,2.260000,2.030000,2.030000,2.030000,937700
2018-12-19,2.050000,2.180000,2.010000,2.010000,2.010000,1172300
2018-12-20,2.800000,2.940000,2.350000,2.480000,2.480000,22720100
2018-12-21,2.530000,2.550000,2.220000,2.260000,2.260000,5771400
2018-12-24,2.170000,2.290000,2.170000,2.220000,2.220000,1369700
2018-12-26,2.240000,2.500000,1.950000,2.500000,2.500000,3638900
2018-12-27,2.480000,2.500000,2.290000,2.390000,2.390000,2456600
2018-12-28,2.390000,2.490000,2.250000,2.390000,2.390000,1682800
2018-12-31,2.400000,2.580000,2.360000,2.380000,2.380000,1676500
2019-01-02,2.300000,2.560000,2.290000,2.510000,2.510000,2097300
2019-01-03,2.520000,2.850000,2.510000,2.800000,2.800000,3284500
2019-01-04,2.850000,3.140000,2.840000,2.970000,2.970000,3950000
2019-01-07,3.020000,3.390000,3.010000,3.250000,3.250000,4498800
2019-01-08,3.350000,3.450000,3.180000,3.340000,3.340000,2817700
2019-01-09,3.330000,3.400000,3.210000,3.230000,3.230000,2456200
2019-01-10,3.210000,3.340000,3.070000,3.320000,3.320000,1892300
2019-01-11,3.300000,3.370000,3.230000,3.290000,3.290000,916900
2019-01-14,3.240000,3.280000,3.110000,3.170000,3.170000,973400
2019-01-15,3.170000,3.220000,3.100000,3.140000,3.140000,1300300
2019-01-16,3.140000,3.310000,3.130000,3.190000,3.190000,965400
2019-01-17,3.180000,3.830000,3.180000,3.730000,3.730000,6477300
2019-01-18,3.850000,3.880000,3.600000,3.670000,3.670000,2660400
2019-01-22,3.660000,3.660000,3.460000,3.560000,3.560000,1493500
2019-01-23,3.580000,3.640000,3.480000,3.540000,3.540000,1022800
2019-01-24,3.680000,3.680000,3.300000,3.490000,3.490000,3092600
2019-01-25,3.500000,3.570000,3.430000,3.500000,3.500000,1041400
2019-01-28,3.500000,3.500000,3.350000,3.390000,3.390000,1299100
2019-01-29,3.430000,3.550000,3.310000,3.370000,3.370000,1608800
2019-01-30,3.380000,3.500000,3.310000,3.480000,3.480000,1309600
2019-01-31,3.480000,3.520000,3.270000,3.370000,3.370000,1976200
2019-02-01,3.370000,3.500000,3.330000,3.450000,3.450000,856000
2019-02-04,3.450000,3.630000,3.450000,3.570000,3.570000,3525000
2019-02-05,3.580000,3.740000,3.400000,3.410000,3.410000,1487000
2019-02-06,3.420000,3.500000,3.320000,3.430000,3.430000,941700
2019-02-07,3.430000,3.460000,3.320000,3.420000,3.420000,1383700
2019-02-08,3.390000,3.520000,3.380000,3.490000,3.490000,1401100
2019-02-11,3.510000,3.550000,3.430000,3.480000,3.480000,665600
2019-02-12,3.490000,3.580000,3.460000,3.570000,3.570000,1014900
2019-02-13,3.560000,3.660000,3.520000,3.610000,3.610000,1077800
2019-02-14,3.590000,3.650000,3.530000,3.540000,3.540000,736500
2019-02-15,3.560000,3.690000,3.500000,3.610000,3.610000,1314600
2019-02-19,3.610000,3.670000,3.100000,3.170000,3.170000,3342400
2019-02-20,3.160000,3.230000,2.760000,2.990000,2.990000,4046200
2019-02-21,2.960000,3.070000,2.880000,2.980000,2.980000,2028300
2019-02-22,3.000000,3.070000,2.880000,2.890000,2.890000,2287700
2019-02-25,2.890000,3.080000,2.850000,2.980000,2.980000,2328500
2019-02-26,2.950000,3.090000,2.950000,3.020000,3.020000,1320500
2019-02-27,3.020000,3.310000,3.010000,3.230000,3.230000,1614500
2019-02-28,3.210000,3.250000,3.050000,3.090000,3.090000,1103500
2019-03-01,3.090000,3.170000,3.060000,3.100000,3.100000,946700
2019-03-04,3.110000,3.130000,2.900000,2.930000,2.930000,1229800
2019-03-05,2.910000,2.960000,2.830000,2.880000,2.880000,963400
2019-03-06,2.900000,2.900000,2.630000,2.650000,2.650000,1733900
2019-03-07,2.650000,2.880000,2.640000,2.830000,2.830000,1467300
2019-03-08,2.800000,2.840000,2.620000,2.670000,2.670000,1388300
2019-03-11,2.670000,2.820000,2.670000,2.770000,2.770000,1011700
2019-03-12,2.780000,2.980000,2.740000,2.860000,2.860000,1074600
2019-03-13,2.910000,2.970000,2.820000,2.960000,2.960000,1401900
2019-03-14,2.830000,3.040000,2.760000,2.990000,2.990000,2579800
2019-03-15,2.990000,2.990000,2.820000,2.870000,2.870000,1759100
2019-03-18,2.870000,2.940000,2.840000,2.880000,2.880000,886100
2019-03-19,2.900000,2.990000,2.850000,2.990000,2.990000,1230100
2019-03-20,2.980000,3.010000,2.850000,2.900000,2.900000,1713900
2019-03-21,2.910000,3.000000,2.880000,2.980000,2.980000,1226900
2019-03-22,2.960000,2.970000,2.790000,2.820000,2.820000,1229000
2019-03-25,2.820000,2.870000,2.740000,2.830000,2.830000,649200
2019-03-26,2.900000,2.960000,2.860000,2.960000,2.960000,1016100
2019-03-27,2.950000,2.980000,2.770000,2.880000,2.880000,872600
2019-03-28,2.890000,2.930000,2.810000,2.860000,2.860000,685200
2019-03-29,2.890000,2.970000,2.880000,2.970000,2.970000,1194200
2019-04-01,2.980000,3.000000,2.900000,2.920000,2.920000,953600
2019-04-02,2.920000,3.000000,2.870000,2.890000,2.890000,1443500
2019-04-03,2.940000,2.980000,2.840000,2.950000,2.950000,742600
2019-04-04,2.940000,2.980000,2.890000,2.920000,2.920000,913500
2019-04-05,2.930000,2.980000,2.890000,2.960000,2.960000,863700
2019-04-08,2.940000,2.980000,2.890000,2.910000,2.910000,857300
2019-04-09,2.930000,2.930000,2.820000,2.820000,2.820000,1074300
2019-04-10,2.840000,2.850000,2.710000,2.750000,2.750000,771200
2019-04-11,2.750000,2.790000,2.630000,2.640000,2.640000,980800
2019-04-12,2.670000,2.690000,2.570000,2.600000,2.600000,1096400
2019-04-15,2.600000,2.680000,2.550000,2.670000,2.670000,820600
2019-04-16,2.700000,2.720000,2.600000,2.620000,2.620000,472500
2019-04-17,2.630000,2.650000,2.500000,2.540000,2.540000,658400
2019-04-18,2.520000,2.590000,2.500000,2.530000,2.530000,606200
2019-04-22,2.570000,2.580000,2.470000,2.540000,2.540000,795400
2019-04-23,2.530000,2.640000,2.520000,2.600000,2.600000,764100
2019-04-24,2.600000,2.670000,2.530000,2.630000,2.630000,820100
2019-04-25,2.620000,2.650000,2.570000,2.600000,2.600000,507100
2019-04-26,2.590000,2.660000,2.570000,2.660000,2.660000,517000
2019-04-29,2.670000,2.730000,2.650000,2.660000,2.660000,547900
2019-04-30,2.670000,2.710000,2.530000,2.570000,2.570000,740900
2019-05-01,2.570000,2.600000,2.520000,2.530000,2.530000,655400
2019-05-02,2.520000,2.620000,2.500000,2.610000,2.610000,782200
2019-05-03,2.620000,2.720000,2.620000,2.710000,2.710000,713400
2019-05-06,2.670000,2.710000,2.630000,2.700000,2.700000,517100
2019-05-07,2.650000,2.710000,2.600000,2.640000,2.640000,321200
2019-05-08,2.650000,2.700000,2.590000,2.660000,2.660000,482300
2019-05-09,2.770000,2.930000,2.670000,2.880000,2.880000,2475700
2019-05-10,2.920000,3.000000,2.800000,2.860000,2.860000,2702800
2019-05-13,2.810000,3.000000,2.750000,2.970000,2.970000,1490200
2019-05-14,3.000000,3.000000,2.890000,2.930000,2.930000,938500
2019-05-15,2.940000,2.970000,2.860000,2.970000,2.970000,767900
2019-05-16,2.990000,2.990000,2.920000,2.950000,2.950000,912500
2019-05-17,2.920000,2.990000,2.880000,2.950000,2.950000,975400
2019-05-20,2.920000,2.980000,2.840000,2.900000,2.900000,887200
